X,Y,PC,PQ,EA,NO,CY,RH,LH,CC,DC,WC
-1.41507481394846,50.9103765653593,SO155AA,10,441221,112493,E92000001,E19000002,E18000009,,E06000045,E05002455
-1.41516610860822,50.9144417023015,SO155AD,10,441211,112945,E92000001,E19000002,E18000009,,E06000045,E05002455
-1.41504557251679,50.9161137313375,SO155AE,10,441218,113131,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41500846180757,50.9179390527552,SO155AF,10,441219,113334,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41910142210333,50.9194162949298,SO155AG,10,440930,113496,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.41664970837648,50.9186576827808,SO155AH,10,441103,113413,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.4178165333518,50.9186365283801,SO155AJ,10,441021,113410,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41975669918177,50.919347611888,SO155AL,10,440884,113488,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.42042393151401,50.921751960478,SO155AN,10,440835,113755,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.42017109717404,50.9214899187572,SO155AP,10,440853,113726,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.42154099684704,50.9200129277073,SO155AQ,10,440758,113561,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.4216452599836,50.919635753275,SO155AR,10,440751,113519,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.419778417526,50.9187452127739,SO155AS,10,440883,113421,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41983979219519,50.9183858120135,SO155AT,10,440879,113381,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41877916116113,50.9178769492719,SO155AU,10,440954,113325,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.4183098406207,50.9178656195436,SO155AW,10,440987,113324,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41574813264195,50.90999325229,SO155AX,10,441174,112450,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41597720505371,50.9110105685396,SO155AY,10,441157,112563,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41599574889943,50.9118020149593,SO155AZ,10,441155,112651,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41600967949955,50.9129621369748,SO155BA,10,441153,112780,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41756831167027,50.9145885994458,SO155BB,10,441042,112960,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41931800395353,50.9145883215005,SO155BD,10,440919,112959,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.42076943397569,50.914550567506,SO155BE,10,440817,112954,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.4325996106904,50.9266677796739,SO155BF,10,439975,114295,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.4218363623286,50.9145468627831,SO155BG,10,440742,112953,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.42287417484478,50.9145969602912,SO155BH,10,440669,112958,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.42083609075065,50.9149106041015,SO155BJ,10,440812,112994,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.4192995273383,50.9149299502756,SO155BL,10,440920,112997,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.417948103546,50.9149322139871,SO155BN,10,441015,112998,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41656834352409,50.9149253278212,SO155BP,10,441112,112998,E92000001,E19000002,E18000009,,E06000045,E05002461
